point_id,gas,temperature_K,pressure_MPa,pressure_basis,salt,salt_molality,salt_composition,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,source_id,reference,method,flags,water_mole_fraction_liquid_hydrocarbon,value_as_printed,unit_as_printed
nC4H10_reamer1944_c2c4_011,nC4H10,310.9278,0.36163,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,reamer1944_c2c4,"Reamer, Olds, Sage & Lacey (1944)",gravimetric,,0.0005,0.5,mole fraction WATER in lighter hydrocarbon liquid phase x 10^3 (Table I)
nC4H10_reamer1944_c2c4_012,nC4H10,327.5944,0.57088588,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,reamer1944_c2c4,"Reamer, Olds, Sage & Lacey (1944)",gravimetric,,0.001,1.0,mole fraction WATER in lighter hydrocarbon liquid phase x 10^3 (Table I)
nC4H10_reamer1944_c2c4_013,nC4H10,344.2611,0.86460253,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,reamer1944_c2c4,"Reamer, Olds, Sage & Lacey (1944)",gravimetric,,0.0021,2.1,mole fraction WATER in lighter hydrocarbon liquid phase x 10^3 (Table I)
nC4H10_reamer1944_c2c4_014,nC4H10,360.9278,1.26036158,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,reamer1944_c2c4,"Reamer, Olds, Sage & Lacey (1944)",gravimetric,,0.0043,4.3,mole fraction WATER in lighter hydrocarbon liquid phase x 10^3 (Table I)
nC4H10_reamer1944_c2c4_015,nC4H10,377.5944,1.78781049,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,reamer1944_c2c4,"Reamer, Olds, Sage & Lacey (1944)",gravimetric,,0.0085,8.5,mole fraction WATER in lighter hydrocarbon liquid phase x 10^3 (Table I)
nC4H10_reamer1944_c2c4_016,nC4H10,394.2611,2.48211252,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,reamer1944_c2c4,"Reamer, Olds, Sage & Lacey (1944)",gravimetric,,0.0157,15.7,mole fraction WATER in lighter hydrocarbon liquid phase x 10^3 (Table I)
nC4H10_reamer1944_c2c4_017,nC4H10,410.9278,3.38463621,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,reamer1944_c2c4,"Reamer, Olds, Sage & Lacey (1944)",gravimetric,,0.0268,26.8,mole fraction WATER in lighter hydrocarbon liquid phase x 10^3 (Table I)
nC4H10_reamer1944_c2c4_018,nC4H10,416.4833,3.7397162,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,reamer1944_c2c4,"Reamer, Olds, Sage & Lacey (1944)",gravimetric,,0.0317,31.7,mole fraction WATER in lighter hydrocarbon liquid phase x 10^3 (Table I)
nC4H10_reamer1944_c2c4_019,nC4H10,422.0389,4.14030158,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,reamer1944_c2c4,"Reamer, Olds, Sage & Lacey (1944)",gravimetric,,0.0379,37.9,mole fraction WATER in lighter hydrocarbon liquid phase x 10^3 (Table I)
nC4H10_reamer1944_c2c4_020,nC4H10,425.15,4.39540759,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,reamer1944_c2c4,"Reamer, Olds, Sage & Lacey (1944)",gravimetric,,0.0483,48.3,mole fraction WATER in lighter hydrocarbon liquid phase x 10^3 (Table I)
