point_id,gas,temperature_K,pressure_MPa,pressure_basis,salt,salt_molality,salt_composition,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,source_id,reference,method,flags,gas2,gas2_mole_fraction_feed,solubility_mole_fraction,solubility_mol_per_kgw,value_as_printed,unit_as_printed
C2H6_amirijafari1972_c2c4_001,C2H6,377.5944,4.5850134,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,1.178,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_002,C2H6,377.5944,4.5850134,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000398,0.022101129,0.398,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_003,C2H6,377.5944,14.2376732,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,2.068,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_004,C2H6,377.5944,14.2376732,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.0007,0.03888308,0.700,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_005,C2H6,377.5944,20.78769235,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,2.370,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_006,C2H6,377.5944,20.78769235,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000803,0.044609045,0.803,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_007,C2H6,377.5944,27.68244935,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,2.676,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_008,C2H6,377.5944,27.68244935,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000906,0.050336191,0.906,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_009,C2H6,377.5944,34.57720636,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,2.942,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_010,C2H6,377.5944,34.57720636,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.000998,0.055452698,0.998,X2: mole fraction of hydrocarbon in water x 10^3
