point_id,gas,temperature_K,pressure_MPa,pressure_basis,salt,salt_molality,salt_composition,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,source_id,reference,method,flags,boundary_type,value_as_printed,unit_as_printed
C2H6_maekawa2001_c2c4_001,C2H6,275.4,3.0,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 98.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_002,C2H6,276.8,3.5,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 98.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_003,C2H6,278.5,4.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 98.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_004,C2H6,280.2,5.1,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 98.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_005,C2H6,281.3,5.7,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 98.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_006,C2H6,281.9,6.1,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 98.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_007,C2H6,283.1,6.9,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 98.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_008,C2H6,283.8,7.4,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 98.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_009,C2H6,284.7,8.1,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 98.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_010,C2H6,285.4,8.9,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 98.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_011,C2H6,277.0,3.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 97.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_012,C2H6,278.4,3.7,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 97.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_013,C2H6,279.1,4.0,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 97.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_014,C2H6,280.3,4.6,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 97.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_015,C2H6,281.4,5.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 97.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_016,C2H6,282.4,5.8,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 97.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_017,C2H6,283.0,6.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 97.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_018,C2H6,283.7,6.7,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 97.9% CH4) -- NO composition printed, NOT a solubility"
C2H6_maekawa2001_c2c4_019,C2H6,284.4,7.3,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,maekawa2001_c2c4,Maekawa 2001,synthetic_visual,,hydrate,,"hydrate dissociation P-T boundary (boundary_type=hydrate; gas composition as printed: 97.9% CH4) -- NO composition printed, NOT a solubility"
