point_id,gas,temperature_K,pressure_MPa,pressure_basis,salt,salt_molality,salt_composition,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,source_id,reference,method,flags,solubility_mole_fraction,solubility_mol_per_kgw,value_as_printed,unit_as_printed
C2H6_barone1979_c2c4_001,C2H6,288.15,0.101325,partial_gas,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,barone1979_c2c4,Barone et al. (1979),manometric_volumetric,,4.3809303e-05,0.0024318897,0.05745,"Ostwald coefficient gamma_s (Table II 'this work' row, C2H6 block; dimensionless ratio rho_s^w/rho_s^g); P=1 atm stated explicitly in text"
C2H6_barone1979_c2c4_002,C2H6,298.15,0.101325,partial_gas,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,barone1979_c2c4,Barone et al. (1979),manometric_volumetric,,3.3476845e-05,0.0018583074,0.04533,"Ostwald coefficient gamma_s (Table II 'this work' row, C2H6 block; dimensionless ratio rho_s^w/rho_s^g); P=1 atm stated explicitly in text"
C2H6_barone1979_c2c4_003,C2H6,308.15,0.101325,partial_gas,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,barone1979_c2c4,Barone et al. (1979),manometric_volumetric,,2.6776647e-05,0.0014863679,0.03736,"Ostwald coefficient gamma_s (Table II 'this work' row, C2H6 block; dimensionless ratio rho_s^w/rho_s^g); P=1 atm stated explicitly in text"
C2H6_bennaim1973_c2c4_001,C2H6,278.15,0.101325,partial_gas,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,bennaim1973_c2c4,"Ben-Naim, Wilf & Yaacobi 1973",manometric_volumetric,,6.4721002e-05,0.0035927901,0.0820,Ostwald absorption coefficient gamma_s0 (H2O)
C2H6_bennaim1973_c2c4_002,C2H6,283.15,0.101325,partial_gas,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,bennaim1973_c2c4,"Ben-Naim, Wilf & Yaacobi 1973",manometric_volumetric,,5.3590956e-05,0.0029749062,0.0691,Ostwald absorption coefficient gamma_s0 (H2O)
C2H6_bennaim1973_c2c4_003,C2H6,288.15,0.101325,partial_gas,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,bennaim1973_c2c4,"Ben-Naim, Wilf & Yaacobi 1973",manometric_volumetric,,4.5067477e-05,0.0025017351,0.0591,Ostwald absorption coefficient gamma_s0 (H2O)
C2H6_bennaim1973_c2c4_004,C2H6,293.15,0.101325,partial_gas,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,bennaim1973_c2c4,"Ben-Naim, Wilf & Yaacobi 1973",manometric_volumetric,,3.8562027e-05,0.002140598,0.0514,Ostwald absorption coefficient gamma_s0 (H2O)
C2H6_bennaim1973_c2c4_005,C2H6,298.15,0.101325,partial_gas,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,bennaim1973_c2c4,"Ben-Naim, Wilf & Yaacobi 1973",manometric_volumetric,,3.345469e-05,0.0018570776,0.0453,Ostwald absorption coefficient gamma_s0 (H2O)
C2H6_bennaimyaacobi1974_c2c4_001,C2H6,283.15,0.101325,partial_gas,NaCl,0.251499,,0.251499,0.251499,0.000000,0.000000,0.000000,0.000000,bennaimyaacobi1974_c2c4,Ben-Naim & Yaacobi 1974,manometric_volumetric,,4.7704883e-05,0.0026481468,61.51,"Ostwald absorption coefficient gamma_s (as printed, x10^3)"
C2H6_bennaimyaacobi1974_c2c4_002,C2H6,288.15,0.101325,partial_gas,NaCl,0.2517,,0.251700,0.251700,0.000000,0.000000,0.000000,0.000000,bennaimyaacobi1974_c2c4,Ben-Naim & Yaacobi 1974,manometric_volumetric,,4.072878e-05,0.0022608804,53.41,"Ostwald absorption coefficient gamma_s (as printed, x10^3)"
C2H6_bennaimyaacobi1974_c2c4_003,C2H6,293.15,0.101325,partial_gas,NaCl,0.251941,,0.251941,0.251941,0.000000,0.000000,0.000000,0.000000,bennaimyaacobi1974_c2c4,Ben-Naim & Yaacobi 1974,manometric_volumetric,,3.5096163e-05,0.0019481993,46.78,"Ostwald absorption coefficient gamma_s (as printed, x10^3)"
