source_id,reference,year,source_type,doi,url,n_solubility,n_watercontent,n_liquidwatercontent,n_mixtures,n_phaseboundaries
abdi2017_ch4,"Abdi, M.A., Mohebbi, A., Behbahani, R.M., 2017. J. Nat. Gas Sci. Eng. 45, 307-324. DOI: 10.1016/j.jngse.2017.05.022.",2017,journal,10.1016/j.jngse.2017.05.022,,240,0,0,0,0
acsjced7b00777_ch4,"Kastanidis, P., Michalis, V.K., Romanos, G.E., Stubos, A.K., Economou, I.G., Tsimpanogiannis, I.N., 2018. J. Chem. Eng. Data. DOI: 10.1021/acs.jced.7b00777.",2018,journal,10.1021/acs.jced.7b00777,,1,0,0,0,0
addicks2002_ch4,"Addicks, J., Owren, G.A., Fredheim, A.O., Tangvik, K. (2002). Solubility of Carbon Dioxide and Methane in Aqueous Methyldiethanolamine Solutions. Journal of Chemical & Engineering Data 47(4), 855-860. DOI: 10.1021/je010292z.",2002,journal,10.1021/je010292z,,2,0,0,0,0
adeneybecker1919_n2,"Adeney, W.E., Becker, H.G. (1919). Philosophical Magazine 38(225), 317-337.",1919,journal,,,7,0,0,0,0
ahmadichapoy2018_co2,"Ahmadi, P., Chapoy, A. (2018). CO2 solubility in formation water under sequestration conditions. Fluid Phase Equilib. 463, 80-90. DOI: 10.1016/j.fluid.2018.02.002.",2018,journal,10.1016/j.fluid.2018.02.002,,29,0,0,0,0
alassi2022_c2c4,"Alassi, M.; Burgass, R.; Chapoy, A. (2022). [Water content of the propane-water system]. J. Nat. Gas Sci. Eng. 108, 104732. DOI 10.1016/j.jngse.2022.104732.",2022,journal,10.1016/j.jngse.2022.104732,,0,27,0,0,0
alassi2023_c2c4,"Alassi, M.; Chapoy, A.; Burgass, R. (2023). [Water content / phase equilibria of the ethane-water system]. Fluid Phase Equilib. 574, 113902. DOI 10.1016/j.fluid.2023.113902.",2023,journal,10.1016/j.fluid.2023.113902,,0,52,0,0,0
alghafrietal2014_co2,"Al Ghafri, S.Z.S., Forte, E., Maitland, G.C., Rodriguez-Henriquez, J.J., Trusler, J.P.M. (2014). Experimental and modeling study of the phase behavior of (methane+CO2+water) mixtures. J. Phys. Chem. B 118(49), 14461-14478. DOI: 10.1021/jp509678g.",2014,journal,10.1021/jp509678g,,7,0,0,0,0
alimohammadi2025_co2,"Alimohammadi, S.; Abiashue, L.; Adigun, B.S.; Zhou, P.; Nyame, G.; Babatunde, A.; Mohammadzadeh, O.; James, L.A. (2025). Equilibrium Modelling of CO2-Brine Systems for Geological Carbon Storage Applications; Experimental Measurements and Thermodynamic Modelling. SCA2025-1089. Zenodo. DOI: 10.5281/zenodo.16804464.",2025,journal,10.5281/zenodo.16804464,,9,0,0,0,0
aljeban2026_ch4,"Aljeban, A., Alanazi, A., Abdelgawad, K., Barri, A., Al Hamad, J., Hoteit, H., 2026. Solubility and interfacial tension of hydrogen and hydrogen-methane mixtures in water: Effect of pH, salinity, and gas composition. Int. J. Hydrogen Energy 204. DOI: 10.1016/j.ijhydene.2025.153276.",2026,journal,10.1016/j.ijhydene.2025.153276,,52,0,0,0,0
aljeban2026_h2,"Aljeban, N., Alanazi, A., Abdelgawad, K., Barri, A.A., Al Hamad, J., Hoteit, H. (2026). Solubility and interfacial tension of hydrogen and hydrogen-methane mixtures in water: Effect of pH, salinity, and gas composition. Int. J. Hydrogen Energy 204, 153276. DOI: 10.1016/j.ijhydene.2025.153276.",2026,journal,10.1016/j.ijhydene.2025.153276,,59,0,0,73,0
althaus2008_n2,"Althaus, K. (1999). Fortschritt-Berichte VDI 3, 350.",1999,report,,,0,116,0,0,0
alvarez1988_h2,"Alvarez, J., Crovetto, R., Fernandez-Prini, R. (1988). The Dissolution of N2 and of H2 in Water from Room Temperature to 640 K. Ber. Bunsenges. Phys. Chem. 92, 935-940. DOI: 10.1002/bbpc.198800223.",1988,journal,10.1002/bbpc.198800223,,26,0,0,0,0
alvarez1988_n2,"Alvarez, J., Crovetto, R., Fernandez-Prini, R. (1988). The dissolution of N2 and of H2 in water from room temperature to 640 K. Berichte der Bunsengesellschaft für Physikalische Chemie 92, 935. DOI: 10.1002/bbpc.198800223.",1988,journal,10.1002/bbpc.198800223,,31,0,0,0,0
alvarezprini1991_n2,"Alvarez, J., Prini, R.F. (1991). A semiempirical procedure to describe the thermodynamics of dissolution of non-polar gases in water. Fluid Phase Equilibria 66, 309-326. DOI: 10.1016/0378-3812(91)85063-z.",1991,journal,10.1016/0378-3812(91)85063-z,,12,0,0,0,0
amirijafari1972_c2c4,"Amirijafari, B. & Campbell, J.M. (1972). ""Solubility of Gaseous Hydrocarbon Mixtures in Water."" Soc. Petrol. Eng. J. 12(01), 21-27. DOI 10.2118/3106-pa.",1972,journal,10.2118/3106-pa,,0,0,0,81,0
amirijafari1972_ch4,"Amirijafari, B., Campbell, J.M., 1972. Solubility of gaseous hydrocarbon mixtures in water. SPE Journal 1(1)/12(01), 21-27. DOI: 10.2118/3106-pa.",1972,journal,10.2118/3106-pa,,8,0,0,0,0
anderson2002_co2,"Anderson, G.K. (2002). J. Chem. Eng. Data 47, 219-222. DOI: 10.1021/je015518c.",2002,journal,10.1021/je015518c,,54,0,0,0,0
austin1963_co2,"Austin, W.H., Lacombe, E., Rand, P.W., Chatterjee, M. (1963). J. Appl. Physiol. 18, 301-304.",1963,journal,,,5,0,0,0,0
azarnooshmcketta1958_c2c4,"Azarnoosh, A. & McKetta, J.J. (1958). Pet. Refiner 37, 275-278.",1958,journal,,,80,0,0,0,0
bambergeretal2000_co2,"Bamberger et al., High-pressure (vapor+liquid) equilibrium in binary mixtures of (carbon dioxide+water or acetic acid) at temperatures from 313 to 353 K, J. Supercrit. Fluid., 17(2), 97-110, 2000. DOI: 10.1016/s0896-8446(99)00054-6.",2000,journal,10.1016/s0896-8446(99)00054-6,,29,29,0,0,0
bando2003_co2,"Bando, S., Takemura, F., Nishio, M., Hihara, E., Akai, M. (2003). Solubility of CO2 in aqueous solutions of NaCl at (30 to 60) C and (10 to 20) MPa. J. Chem. Eng. Data 48(3), 576-579. DOI: 10.1021/je0255832.",2003,journal,10.1021/je0255832,,48,0,0,0,0
baranenko1990_n2,"Baranenko, V.I., Sysoev, V.S., Fal'kovskii, L.N., Kirov, V.S., Piontkovskii, A.I., Musienko, A.N. (1990). The solubility of nitrogen in water. Soviet Atomic Energy 68(2), 162-165. DOI: 10.1007/BF02069879.",1990,journal,10.1007/BF02069879,,122,0,0,0,0
barone1966_c2c4,"Barone, G. et al. (1979). DOI: 10.1021/j100484a005.",1979,journal,10.1021/j100484a005,,2,0,0,0,0
barone1979_c2c4,"Barone, G. et al. (1979). DOI: 10.1021/j100484a005.",1979,journal,10.1021/j100484a005,,3,0,0,0,0
barone1979_ch4,"Barone, G., Castronuovo, G., Volpe, V., Elia, V., Grassi, C., 1979. J. Phys. Chem. 83, 2703-2714 (per SDS-27/28 §1.5 ref-list entry, ref 20). DOI: 10.1021/j100484a005.",1979,journal,10.1021/j100484a005,,3,0,0,0,0
