point_id,gas,temperature_K,pressure_MPa,pressure_basis,salt,salt_molality,salt_composition,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,source_id,reference,method,flags,water_mole_fraction_vapor,value_as_printed,unit_as_printed
C2H6_alassi2023_c2c4_001,C2H6,273.15,24.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,alassi2023_c2c4,"Alassi, Chapoy & Burgass (2023)",electrochemical,replicate,6.33e-05,63.3,"y2 water content, ppm in ethane (phase LHE)"
C2H6_alassi2023_c2c4_002,C2H6,273.15,24.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,alassi2023_c2c4,"Alassi, Chapoy & Burgass (2023)",electrochemical,replicate,6.33e-05,63.3,"y2 water content, ppm in ethane (phase LHE)"
C2H6_alassi2023_c2c4_003,C2H6,273.15,24.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,alassi2023_c2c4,"Alassi, Chapoy & Burgass (2023)",electrochemical,,6.39e-05,63.9,"y2 water content, ppm in ethane (phase LHE)"
C2H6_alassi2023_c2c4_004,C2H6,273.15,24.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,alassi2023_c2c4,"Alassi, Chapoy & Burgass (2023)",electrochemical,replicate,6.43e-05,64.3,"y2 water content, ppm in ethane (phase LHE)"
C2H6_alassi2023_c2c4_005,C2H6,273.15,24.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,alassi2023_c2c4,"Alassi, Chapoy & Burgass (2023)",electrochemical,replicate,6.43e-05,64.3,"y2 water content, ppm in ethane (phase LHE)"
C2H6_alassi2023_c2c4_006,C2H6,273.15,24.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,alassi2023_c2c4,"Alassi, Chapoy & Burgass (2023)",electrochemical,,6.46e-05,64.6,"y2 water content, ppm in ethane (phase LHE)"
C2H6_alassi2023_c2c4_007,C2H6,273.15,24.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,alassi2023_c2c4,"Alassi, Chapoy & Burgass (2023)",electrochemical,replicate,6.49e-05,64.9,"y2 water content, ppm in ethane (phase LHE)"
C2H6_alassi2023_c2c4_008,C2H6,273.15,24.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,alassi2023_c2c4,"Alassi, Chapoy & Burgass (2023)",electrochemical,replicate,6.49e-05,64.9,"y2 water content, ppm in ethane (phase LHE)"
C2H6_alassi2023_c2c4_009,C2H6,273.15,24.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,alassi2023_c2c4,"Alassi, Chapoy & Burgass (2023)",electrochemical,replicate,6.54e-05,65.4,"y2 water content, ppm in ethane (phase LHE)"
C2H6_alassi2023_c2c4_010,C2H6,273.15,24.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,alassi2023_c2c4,"Alassi, Chapoy & Burgass (2023)",electrochemical,replicate,6.54e-05,65.4,"y2 water content, ppm in ethane (phase LHE)"
